iter	Passed	Remaining
0	58	5798
1	58	2887
2	59	1915
3	59	1431
4	60	1140
5	60	946
6	60	807
7	61	704
8	61	622
9	61	556
10	62	503
11	62	458
12	62	420
13	63	388
14	63	359
15	63	335
16	64	313
17	64	293
18	64	276
19	65	260
20	65	246
21	65	233
22	66	221
23	66	210
24	66	200
25	67	191
26	67	182
27	68	174
28	68	167
29	68	160
30	69	153
31	69	147
32	69	141
33	70	136
34	70	130
35	70	126
36	71	121
37	71	117
38	72	112
39	72	108
40	72	104
41	73	100
42	73	97
43	73	94
44	74	90
45	74	87
46	74	84
47	75	81
48	75	78
49	75	75
50	76	73
51	76	70
52	77	68
53	77	65
54	77	63
55	78	61
56	78	59
57	78	57
58	79	54
59	79	53
60	79	51
61	80	49
62	80	47
63	80	45
64	81	43
65	81	41
66	81	40
67	82	38
68	82	37
69	82	35
70	83	33
71	83	32
72	83	31
73	84	29
74	84	28
75	84	26
76	85	25
77	85	24
78	86	22
79	86	21
80	86	20
81	86	19
82	87	17
83	87	16
84	88	15
85	88	14
86	88	13
87	89	12
88	89	11
89	89	9
90	90	8
91	90	7
92	90	6
93	91	5
94	91	4
95	91	3
96	92	2
97	92	1
98	93	0
99	93	0
