price_t0,price_t1,price_t2,price_t3,price_t4,price_t5,price_t6,price_t7,price_t8,price_t9,price_t10,price_t11,price_t12,price_t13,crossings_05,price_early,price_mid,price_late,duration_minutes,volume,coin,label
0.5,0.985,0.9905,0.9895,0.9895,0.993,0.9895,0.9935,0.987,0.9835,0.896,0.9445,0.1705,0.4305,7,0.985,0.993,0.5175,10077.358966666665,799934.0195089995,0,0
0.845,0.9,0.915,0.935,0.935,0.94,0.895,0.765,0.545,0.105,0.105,0.0115,0.0035,0.0005,1,0.905,0.755,0.0005,8717.5075,439144.83360599994,0,0
0.08,0.07,0.075,0.065,0.045,0.045,0.0415,0.0805,0.212,0.3555,0.2415,0.2065,0.0065,0.0005,0,0.075,0.0465,0.0115,9948.640337433335,34471.550865000005,0,0
0.235,0.23,0.27,0.275,0.275,0.285,0.305,0.335,0.27,0.075,0.016,0.0105,0.0005,0.0005,0,0.23,0.31,0.0005,9948.320723033334,13119.993207000005,0,0
0.0205,0.0215,0.0105,0.007,0.007,0.009,0.0065,0.006,0.001,0.0005,0.0005,0.0005,0.0005,0.0005,0,0.021,0.0065,0.0005,9947.66774665,3579.8599999999997,0,0
0.66,0.385,0.48,0.485,0.435,0.435,0.495,0.49,0.495,0.195,0.055,0.009,0.0005,0.0005,9,0.58,0.535,0.0005,10074.612810083334,287135.86838600005,0,0
0.01,0.006,0.0055,0.0055,0.006,0.005,0.0025,0.005,0.0035,0.001,0.001,0.0005,0.0005,0.0005,0,0.0115,0.005,0.0005,10077.147025616667,39739.18630700001,0,0
0.0155,0.0105,0.0075,0.0045,0.0045,0.0055,0.004,0.0035,0.0055,0.0065,0.001,0.0005,0.0005,0.0005,0,0.016,0.004,0.0005,10066.134086516666,4572.83951,0,0
0.225,0.11,0.14,0.145,0.12,0.11,0.14,0.125,0.125,0.0285,0.0075,0.0015,0.0005,0.0005,0,0.18,0.145,0.0005,10073.292523799999,19918.33185600001,0,0
0.575,0.465,0.36,0.175,0.175,0.14,0.115,0.105,0.115,0.095,0.085,0.012,0.0005,0.0005,3,0.52,0.105,0.0005,10050.059648066666,225971.45967500037,0,0
0.06,0.017,0.017,0.007,0.0065,0.004,0.004,0.0005,0.0005,0.0005,0.0015,0.0005,0.0005,0.0005,0,0.0205,0.0005,0.0005,10055.490691050001,33313.274399999995,0,0
0.05,0.075,0.105,0.215,0.19,0.165,0.185,0.17,0.13,0.105,0.085,0.375,0.63,0.0015,2,0.065,0.17,0.535,10062.78592095,51748.68662500002,0,0
