price_t0,price_t1,price_t2,price_t3,price_t4,price_t5,price_t6,price_t7,price_t8,price_t9,crossings_05,price_early,price_mid,price_late,duration_minutes,volume,coin,label
0.505,0.485,0.485,0.495,0.495,0.485,0.495,0.51,0.505,0.535,4,0.495,0.495,0.52,60,25225.208139999995,0,0
0.49,0.505,0.505,0.505,0.505,0.52,0.5,0.505,0.505,0.535,1,0.505,0.515,0.535,60,30311.146416000003,0,1
0.505,0.505,0.505,0.505,0.515,0.505,0.475,0.475,0.48,0.465,1,0.505,0.515,0.48,60,55101.40322400007,0,0
0.49,0.495,0.49,0.49,0.49,0.49,0.535,0.535,0.535,0.535,1,0.495,0.49,0.535,60,48818.67662500001,0,0
0.505,0.505,0.505,0.505,0.505,0.52,0.535,0.52,0.535,0.535,0,0.505,0.52,0.535,60,5641.994219999997,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,2,0.505,0.505,0.505,60,25643.539291,0,0
0.495,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.485,0.485,2,0.505,0.505,0.48,60,29655.569916999997,0,1
0.505,0.5,0.495,0.495,0.5,0.5,0.5,0.495,0.465,0.475,3,0.505,0.5,0.475,60,91969.10561299998,0,0
0.505,0.5,0.505,0.505,0.495,0.495,0.495,0.48,0.48,0.485,1,0.505,0.495,0.48,60,22663.891808000008,0,1
0.5,0.505,0.505,0.505,0.5,0.5,0.495,0.485,0.49,0.455,3,0.505,0.5,0.48,60,32870.679532999944,0,0
0.52,0.52,0.515,0.515,0.515,0.515,0.515,0.515,0.495,0.475,1,0.52,0.515,0.485,60,40883.080271999985,0,1
0.51,0.52,0.52,0.515,0.52,0.52,0.505,0.515,0.545,0.535,0,0.52,0.52,0.525,60,36448.06999799997,0,0
0.5,0.495,0.495,0.495,0.51,0.5,0.5,0.495,0.495,0.485,3,0.495,0.51,0.495,60,57797.76470100004,0,0
0.5,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.485,0.465,1,0.505,0.505,0.465,60,43140.46792000001,0,0
0.505,0.505,0.505,0.505,0.485,0.485,0.49,0.49,0.49,0.485,1,0.505,0.485,0.49,60,22085.899143999995,0,1
0.505,0.505,0.505,0.505,0.5,0.51,0.5,0.49,0.475,0.475,5,0.535,0.5,0.49,60,28792.55634300002,0,0
0.505,0.535,0.535,0.535,0.535,0.535,0.545,0.535,0.545,0.535,0,0.535,0.535,0.545,60,44859.98736700009,0,1
0.535,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.545,0.515,0,0.535,0.53,0.54,60,32454.10850900007,0,0
0.535,0.545,0.545,0.545,0.545,0.545,0.545,0.555,0.565,0.555,0,0.545,0.545,0.575,60,72761.43119699998,0,0
