price_t0,price_t1,price_t2,price_t3,price_t4,price_t5,price_t6,price_t7,price_t8,price_t9,crossings_05,price_early,price_mid,price_late,n_snapshots,duration_minutes,volume,coin,label
0.007,0.0055,0.0065,0.004,0.0035,0.0035,0.0015,0.0005,0.0005,0.0005,0,0.0035,0.0035,0.0005,10,44000.54775005,560997.820285001,0,0
0.012,0.016,0.0095,0.0125,0.0105,0.0035,0.0035,0.0025,0.0005,0.0005,0,0.01,0.0075,0.0005,10,44000.46524198333,1064526.3889869992,0,0
0.075,0.085,0.0385,0.0565,0.0395,0.0095,0.0065,0.0035,0.0005,0.0005,0,0.055,0.0115,0.0005,10,44000.629536399996,2300153.806997013,0,0
0.395,0.625,0.515,0.625,0.405,0.155,0.075,0.032,0.0025,0.0005,4,0.415,0.205,0.0005,10,44000.57402636667,5177595.545592992,0,0
0.69,0.645,0.375,0.455,0.375,0.405,0.475,0.675,0.565,0.865,8,0.65,0.415,0.465,10,44000.6965,2088851.8624720026,0,1
0.003,0.0025,0.0015,0.0015,0.0015,0.0015,0.0005,0.0005,0.0005,0.0005,0,0.0025,0.0015,0.0005,10,44000.529883333336,535862.8918290008,0,0
0.0045,0.0035,0.0045,0.0025,0.0035,0.0015,0.0015,0.0005,0.0005,0.0005,0,0.0035,0.0025,0.0005,10,44000.55229696666,845439.3822470108,0,0
0.11,0.075,0.075,0.045,0.045,0.052,0.0185,0.0105,0.0185,0.0005,0,0.105,0.0455,0.003,10,43998.72696666666,3154146.5760450033,0,0
0.031,0.022,0.0205,0.0145,0.0085,0.0095,0.0065,0.0055,0.0025,0.0005,0,0.0225,0.016,0.001,10,43999.45361666667,1397631.3197710023,0,0
0.006,0.0055,0.0065,0.0055,0.004,0.0045,0.0025,0.0015,0.0015,0.0005,0,0.0055,0.0045,0.0005,10,44000.0703,1005524.1044689986,0,0
0.003,0.0025,0.0025,0.0025,0.002,0.0015,0.0015,0.0005,0.0005,0.0005,0,0.0035,0.0025,0.0005,10,43998.49405,1152735.519918001,0,0
0.0075,0.009,0.0075,0.0065,0.0055,0.0035,0.0025,0.0005,0.0005,0.0005,0,0.0055,0.0055,0.0005,10,43998.959668849995,751943.4723920005,0,0
0.0205,0.0385,0.0265,0.0255,0.0135,0.0045,0.0045,0.0025,0.0005,0.0005,0,0.0215,0.0085,0.0005,10,44000.30882355,1856687.601759007,0,0
0.135,0.245,0.175,0.205,0.095,0.0425,0.0145,0.0065,0.0015,0.0005,0,0.175,0.045,0.0005,10,43999.368260083334,3784409.6129529965,0,0
0.815,0.825,0.875,0.855,0.855,,,,,,0,0.815,0.875,0.855,5,44000.243233333335,195621.5035929998,0,1
0.325,0.225,0.165,0.105,0.105,0.205,0.075,0.0465,0.1515,0.003,0,0.325,0.175,0.031,10,43999.933333333334,3928362.4910249854,0,0
0.0045,0.0045,0.0035,0.0035,0.0035,0.0025,0.0025,0.0005,0.0005,0.0005,0,0.0045,0.0025,0.0005,10,44000.20466146667,6699688.910269973,0,0
